{'BM': 19605698.077646073, 'ijk': (6, '-', 22, '-', 3)}
{'BM': 18433474.949717604, 'ijk': (6, '-', 21, '-', 3)}
{'BM': 18421055.749866467, 'ijk': (6, '-', 23, '-', 6)}
{'BM': 18406392.890692066, 'ijk': (5, '-', 22, '-', 6)}
{'BM': 18399873.17450673, 'ijk': (5, '-', 26, '-', 5)}
{'BM': 18393953.317210857, 'ijk': (6, '-', 25, '-', 6)}
{'BM': 18389660.89432734, 'ijk': (5, '-', 18, '-', 5)}
{'BM': 18387085.306656156, 'ijk': (5, '-', 18, '-', 4)}
{'BM': 18381234.915467143, 'ijk': (5, '-', 21, '-', 6)}
{'BM': 18379100.08467268, 'ijk': (5, '-', 19, '-', 6)}
{'BM': 18378681.002721053, 'ijk': (6, '-', 24, '-', 6)}
{'BM': 18369897.81767651, 'ijk': (6, '-', 26, '-', 6)}
{'BM': 18351841.731227737, 'ijk': (5, '-', 24, '-', 4)}
{'BM': 18339405.515660346, 'ijk': (5, '-', 25, '-', 6)}
{'BM': 18330136.371153705, 'ijk': (6, '-', 22, '-', 6)}
{'BM': 18328999.89220699, 'ijk': (6, '-', 27, '-', 6)}
{'BM': 18316863.552348543, 'ijk': (6, '-', 26, '-', 3)}
{'BM': 18312172.460405543, 'ijk': (6, '-', 28, '-', 6)}
{'BM': 18284294.4263983, 'ijk': (5, '-', 23, '-', 6)}
{'BM': 18275027.385196857, 'ijk': (5, '-', 26, '-', 6)}
{'BM': 18269696.505908825, 'ijk': (6, '-', 29, '-', 6)}
{'BM': 18259480.474071816, 'ijk': (5, '-', 24, '-', 6)}
{'BM': 18236601.89538839, 'ijk': (6, '-', 29, '-', 4)}
{'BM': 18149086.710381914, 'ijk': (5, '-', 27, '-', 6)}
{'BM': 18083057.359369606, 'ijk': (6, '-', 21, '-', 5)}
{'BM': 18055730.323332693, 'ijk': (5, '-', 29, '-', 6)}
{'BM': 17996922.497007813, 'ijk': (5, '-', 28, '-', 6)}
{'BM': 17909570.28049147, 'ijk': (5, '-', 23, '-', 3)}
{'BM': 17802337.540175386, 'ijk': (6, '-', 22, '-', 7)}
{'BM': 17794305.684108924, 'ijk': (6, '-', 24, '-', 7)}
{'BM': 17782020.990212597, 'ijk': (6, '-', 25, '-', 7)}
{'BM': 17779719.308026537, 'ijk': (6, '-', 23, '-', 7)}
{'BM': 17745941.210028466, 'ijk': (5, '-', 20, '-', 7)}
{'BM': 17736850.551861454, 'ijk': (5, '-', 19, '-', 7)}
{'BM': 17726000.47829236, 'ijk': (5, '-', 23, '-', 7)}
{'BM': 17710848.534150958, 'ijk': (5, '-', 25, '-', 7)}
{'BM': 17710534.26111077, 'ijk': (5, '-', 26, '-', 7)}
{'BM': 17701809.10881056, 'ijk': (6, '-', 26, '-', 7)}
{'BM': 17666202.896914076, 'ijk': (6, '-', 27, '-', 7)}
{'BM': 17659879.69868868, 'ijk': (6, '-', 28, '-', 7)}
{'BM': 17650559.520762846, 'ijk': (5, '-', 19, '-', 2)}
{'BM': 17630384.839833584, 'ijk': (6, '-', 27, '-', 3)}
{'BM': 17627181.5409082, 'ijk': (5, '-', 29, '-', 7)}
{'BM': 17622182.3594097, 'ijk': (5, '-', 27, '-', 7)}
{'BM': 17620008.455855526, 'ijk': (5, '-', 21, '-', 7)}
{'BM': 17616679.012548182, 'ijk': (6, '-', 29, '-', 7)}
{'BM': 17556268.43744943, 'ijk': (6, '-', 21, '-', 6)}
{'BM': 17492460.114144903, 'ijk': (5, '-', 22, '-', 7)}
{'BM': 17476588.65292264, 'ijk': (7, '-', 26, '-', 3)}
{'BM': 17426575.514762748, 'ijk': (7, '-', 27, '-', 3)}
{'BM': 17420909.918913845, 'ijk': (5, '-', 24, '-', 7)}
{'BM': 17412380.71144688, 'ijk': (5, '-', 18, '-', 2)}
{'BM': 17348598.794447634, 'ijk': (5, '-', 28, '-', 7)}
{'BM': 17331610.66939451, 'ijk': (5, '-', 18, '-', 6)}
{'BM': 17292987.371966466, 'ijk': (5, '-', 27, '-', 3)}
{'BM': 17290001.083949056, 'ijk': (5, '-', 26, '-', 3)}
{'BM': 17280722.93616904, 'ijk': (5, '-', 28, '-', 8)}
{'BM': 17273027.989196006, 'ijk': (7, '-', 28, '-', 3)}
{'BM': 17258969.96932147, 'ijk': (6, '-', 26, '-', 8)}
{'BM': 17241751.976816647, 'ijk': (6, '-', 23, '-', 8)}
{'BM': 17231142.83934179, 'ijk': (6, '-', 22, '-', 8)}
{'BM': 17186785.625527292, 'ijk': (5, '-', 25, '-', 8)}
{'BM': 17174298.97318353, 'ijk': (6, '-', 24, '-', 8)}
{'BM': 17173172.567503393, 'ijk': (6, '-', 22, '-', 2)}
{'BM': 17172345.543978564, 'ijk': (6, '-', 20, '-', 4)}
{'BM': 17157127.44807414, 'ijk': (6, '-', 25, '-', 8)}
{'BM': 17138546.914360616, 'ijk': (5, '-', 29, '-', 8)}
{'BM': 17136829.138445582, 'ijk': (6, '-', 27, '-', 8)}
{'BM': 17110717.30258445, 'ijk': (5, '-', 28, '-', 3)}
{'BM': 17103494.447754487, 'ijk': (6, '-', 29, '-', 8)}
{'BM': 17099414.07057011, 'ijk': (5, '-', 25, '-', 3)}
{'BM': 17097082.022851102, 'ijk': (6, '-', 28, '-', 8)}
{'BM': 17096283.56987778, 'ijk': (5, '-', 20, '-', 8)}
{'BM': 17093875.830180593, 'ijk': (7, '-', 26, '-', 4)}
{'BM': 17080202.65256577, 'ijk': (5, '-', 23, '-', 8)}
{'BM': 17079750.15115841, 'ijk': (6, '-', 20, '-', 3)}
{'BM': 17053590.435181558, 'ijk': (7, '-', 27, '-', 4)}
{'BM': 17019085.701027673, 'ijk': (5, '-', 21, '-', 8)}
{'BM': 17002355.45603128, 'ijk': (6, '-', 21, '-', 7)}
{'BM': 17001773.601757947, 'ijk': (7, '-', 28, '-', 4)}
{'BM': 16998946.752385743, 'ijk': (5, '-', 22, '-', 8)}
{'BM': 16957045.632247068, 'ijk': (7, '-', 29, '-', 3)}
{'BM': 16949944.951386943, 'ijk': (5, '-', 29, '-', 3)}
{'BM': 16931379.80259432, 'ijk': (5, '-', 20, '-', 2)}
{'BM': 16926347.67407532, 'ijk': (6, '-', 20, '-', 5)}
{'BM': 16926067.862213604, 'ijk': (7, '-', 29, '-', 4)}
{'BM': 16909611.79198663, 'ijk': (5, '-', 27, '-', 8)}
{'BM': 16901815.185106874, 'ijk': (5, '-', 24, '-', 3)}
{'BM': 16895389.82138644, 'ijk': (5, '-', 19, '-', 8)}
{'BM': 16885041.220116377, 'ijk': (5, '-', 26, '-', 8)}
{'BM': 16871475.653542846, 'ijk': (5, '-', 24, '-', 8)}
{'BM': 16844408.847657964, 'ijk': (7, '-', 25, '-', 3)}
{'BM': 16762786.110863931, 'ijk': (5, '-', 18, '-', 7)}
{'BM': 16724468.677281879, 'ijk': (6, '-', 28, '-', 3)}
{'BM': 16642504.67875864, 'ijk': (5, '-', 26, '-', 9)}
{'BM': 16641487.920172889, 'ijk': (6, '-', 22, '-', 9)}
{'BM': 16626744.50433212, 'ijk': (6, '-', 23, '-', 9)}
{'BM': 16622153.154832559, 'ijk': (6, '-', 26, '-', 9)}
{'BM': 16618789.617778406, 'ijk': (6, '-', 28, '-', 9)}
{'BM': 16615241.572724625, 'ijk': (6, '-', 24, '-', 9)}
{'BM': 16593762.658540145, 'ijk': (6, '-', 25, '-', 9)}
{'BM': 16575634.642482879, 'ijk': (6, '-', 27, '-', 9)}
{'BM': 16573896.188797329, 'ijk': (5, '-', 23, '-', 9)}
{'BM': 16551796.878422113, 'ijk': (6, '-', 29, '-', 9)}
{'BM': 16551249.91570449, 'ijk': (5, '-', 24, '-', 9)}
{'BM': 16529169.869407637, 'ijk': (5, '-', 25, '-', 9)}
{'BM': 16515399.529392771, 'ijk': (5, '-', 17, '-', 3)}
{'BM': 16513342.84836134, 'ijk': (5, '-', 20, '-', 9)}
{'BM': 16505014.038825314, 'ijk': (5, '-', 22, '-', 9)}
{'BM': 16502635.07367542, 'ijk': (6, '-', 23, '-', 2)}
{'BM': 16476882.704639787, 'ijk': (7, '-', 25, '-', 4)}
{'BM': 16474932.946644396, 'ijk': (5, '-', 19, '-', 9)}
{'BM': 16460732.347566107, 'ijk': (7, '-', 28, '-', 5)}
{'BM': 16437348.919155754, 'ijk': (7, '-', 26, '-', 5)}
{'BM': 16435895.015745087, 'ijk': (6, '-', 21, '-', 8)}
{'BM': 16421689.91334365, 'ijk': (5, '-', 21, '-', 9)}
{'BM': 16403286.646053249, 'ijk': (7, '-', 27, '-', 5)}
{'BM': 16393395.227916528, 'ijk': (5, '-', 27, '-', 9)}
{'BM': 16377512.82521401, 'ijk': (7, '-', 29, '-', 5)}
{'BM': 16236883.28175225, 'ijk': (5, '-', 22, '-', 10)}
{'BM': 16225398.396904852, 'ijk': (6, '-', 20, '-', 6)}
{'BM': 16224092.26105587, 'ijk': (5, '-', 29, '-', 9)}
{'BM': 16211762.614435095, 'ijk': (7, '-', 24, '-', 3)}
{'BM': 16188099.37723472, 'ijk': (5, '-', 28, '-', 9)}
{'BM': 16142077.052363269, 'ijk': (5, '-', 18, '-', 8)}
{'BM': 16078839.137378305, 'ijk': (5, '-', 21, '-', 2)}
{'BM': 16073706.50714371, 'ijk': (6, '-', 23, '-', 10)}
{'BM': 16061723.829192784, 'ijk': (6, '-', 20, '-', 7)}
{'BM': 16053127.140226446, 'ijk': (5, '-', 21, '-', 10)}
{'BM': 16022531.27450393, 'ijk': (6, '-', 22, '-', 10)}
{'BM': 15998512.785491155, 'ijk': (6, '-', 24, '-', 10)}
{'BM': 15990726.954731131, 'ijk': (5, '-', 25, '-', 10)}
{'BM': 15990170.141374175, 'ijk': (6, '-', 25, '-', 10)}
{'BM': 15979601.049840776, 'ijk': (5, '-', 23, '-', 10)}
{'BM': 15974262.201283008, 'ijk': (7, '-', 25, '-', 5)}
{'BM': 15960262.230252873, 'ijk': (5, '-', 19, '-', 10)}
{'BM': 15938399.56579314, 'ijk': (6, '-', 28, '-', 10)}
{'BM': 15934784.142841196, 'ijk': (5, '-', 27, '-', 10)}
{'BM': 15921865.221071443, 'ijk': (6, '-', 26, '-', 10)}
{'BM': 15902893.237590875, 'ijk': (5, '-', 20, '-', 10)}
{'BM': 15902834.666328525, 'ijk': (6, '-', 27, '-', 10)}
{'BM': 15895253.961559895, 'ijk': (6, '-', 29, '-', 10)}
{'BM': 15891816.029120753, 'ijk': (7, '-', 27, '-', 6)}
{'BM': 15890401.673052475, 'ijk': (6, '-', 21, '-', 2)}
{'BM': 15866303.481009021, 'ijk': (7, '-', 29, '-', 6)}
{'BM': 15865187.137169344, 'ijk': (7, '-', 26, '-', 6)}
{'BM': 15814619.592675064, 'ijk': (4, '-', 15, '-', 2)}
{'BM': 15811452.03638817, 'ijk': (7, '-', 28, '-', 6)}
{'BM': 15779262.10203903, 'ijk': (6, '-', 24, '-', 2)}
{'BM': 15764794.642420668, 'ijk': (5, '-', 17, '-', 4)}
{'BM': 15749852.595419036, 'ijk': (5, '-', 28, '-', 10)}
{'BM': 15745015.463557288, 'ijk': (6, '-', 21, '-', 9)}
{'BM': 15725654.525019199, 'ijk': (5, '-', 29, '-', 10)}
{'BM': 15714952.65398435, 'ijk': (7, '-', 24, '-', 4)}
{'BM': 15706147.11781213, 'ijk': (5, '-', 26, '-', 10)}
{'BM': 15699197.351786856, 'ijk': (6, '-', 29, '-', 3)}
{'BM': 15674647.613575382, 'ijk': (4, '-', 16, '-', 2)}
{'BM': 15639080.763254726, 'ijk': (4, '-', 16, '-', 3)}
{'BM': 15624360.529893998, 'ijk': (5, '-', 24, '-', 10)}
{'BM': 15617767.49283185, 'ijk': (5, '-', 17, '-', 2)}
{'BM': 15572845.553877894, 'ijk': (6, '-', 19, '-', 4)}
{'BM': 15570878.70062858, 'ijk': (4, '-', 15, '-', 3)}
{'BM': 15570178.53702521, 'ijk': (4, '-', 18, '-', 3)}
{'BM': 15547108.173588766, 'ijk': (5, '-', 21, '-', 11)}
{'BM': 15530583.526209868, 'ijk': (5, '-', 18, '-', 9)}
{'BM': 15523868.522485796, 'ijk': (6, '-', 20, '-', 8)}
{'BM': 15489526.647100126, 'ijk': (4, '-', 22, '-', 3)}
{'BM': 15450737.49025811, 'ijk': (6, '-', 24, '-', 11)}
{'BM': 15450510.65974802, 'ijk': (4, '-', 20, '-', 3)}
{'BM': 15439036.019629281, 'ijk': (4, '-', 21, '-', 3)}
{'BM': 15424054.730101282, 'ijk': (6, '-', 22, '-', 11)}
{'BM': 15421754.332520358, 'ijk': (6, '-', 23, '-', 11)}
{'BM': 15386263.81056307, 'ijk': (4, '-', 17, '-', 3)}
{'BM': 15347902.246223392, 'ijk': (7, '-', 25, '-', 6)}
{'BM': 15341274.398753626, 'ijk': (6, '-', 25, '-', 11)}
{'BM': 15339206.166959917, 'ijk': (6, '-', 28, '-', 11)}
{'BM': 15332643.121379072, 'ijk': (6, '-', 26, '-', 11)}
{'BM': 15318659.317776393, 'ijk': (6, '-', 27, '-', 11)}
{'BM': 15311174.091489349, 'ijk': (5, '-', 19, '-', 11)}
{'BM': 15304292.630696105, 'ijk': (7, '-', 27, '-', 7)}
{'BM': 15301448.82657643, 'ijk': (4, '-', 24, '-', 3)}
{'BM': 15301182.069532696, 'ijk': (6, '-', 29, '-', 11)}
{'BM': 15297854.4039502, 'ijk': (7, '-', 26, '-', 7)}
{'BM': 15290740.98585801, 'ijk': (6, '-', 19, '-', 3)}
{'BM': 15262165.379392806, 'ijk': (5, '-', 26, '-', 11)}
{'BM': 15261577.791529149, 'ijk': (5, '-', 24, '-', 11)}
{'BM': 15259080.264695436, 'ijk': (4, '-', 19, '-', 3)}
{'BM': 15243713.468933582, 'ijk': (5, '-', 20, '-', 11)}
{'BM': 15234483.92883451, 'ijk': (7, '-', 23, '-', 3)}
{'BM': 15233681.644907743, 'ijk': (4, '-', 25, '-', 3)}
{'BM': 15222852.825581774, 'ijk': (4, '-', 17, '-', 2)}
{'BM': 15218083.138107602, 'ijk': (6, '-', 25, '-', 2)}
{'BM': 15217840.800533922, 'ijk': (7, '-', 28, '-', 7)}
{'BM': 15210329.135149334, 'ijk': (6, '-', 21, '-', 10)}
{'BM': 15199944.96262478, 'ijk': (4, '-', 23, '-', 3)}
{'BM': 15199743.611394618, 'ijk': (7, '-', 29, '-', 7)}
{'BM': 15194419.713947143, 'ijk': (5, '-', 29, '-', 11)}
{'BM': 15179384.2179234, 'ijk': (5, '-', 23, '-', 11)}
{'BM': 15177985.157157116, 'ijk': (5, '-', 28, '-', 11)}
{'BM': 15165802.849042438, 'ijk': (5, '-', 17, '-', 5)}
{'BM': 15144517.178409815, 'ijk': (5, '-', 25, '-', 11)}
{'BM': 15131466.476069, 'ijk': (5, '-', 27, '-', 11)}
{'BM': 15089069.97093959, 'ijk': (7, '-', 24, '-', 5)}
{'BM': 15086537.40199507, 'ijk': (5, '-', 18, '-', 10)}
{'BM': 15082715.091247562, 'ijk': (5, '-', 22, '-', 2)}
{'BM': 15082665.511469793, 'ijk': (4, '-', 21, '-', 4)}
{'BM': 15069967.397316618, 'ijk': (4, '-', 17, '-', 4)}
{'BM': 15056110.77181202, 'ijk': (7, '-', 26, '-', 2)}
{'BM': 15023331.073012687, 'ijk': (4, '-', 15, '-', 4)}
{'BM': 15006088.580037747, 'ijk': (4, '-', 25, '-', 4)}
{'BM': 14977480.789351363, 'ijk': (5, '-', 22, '-', 11)}
{'BM': 14945506.306954583, 'ijk': (4, '-', 19, '-', 4)}
{'BM': 14939163.158786602, 'ijk': (4, '-', 16, '-', 4)}
{'BM': 14927326.095793853, 'ijk': (4, '-', 26, '-', 3)}
{'BM': 14918752.660249015, 'ijk': (7, '-', 23, '-', 4)}
{'BM': 14897806.579675497, 'ijk': (4, '-', 22, '-', 4)}
{'BM': 14884506.75178247, 'ijk': (4, '-', 20, '-', 4)}
{'BM': 14882999.033117253, 'ijk': (4, '-', 26, '-', 4)}
{'BM': 14870684.66343065, 'ijk': (6, '-', 23, '-', 12)}
{'BM': 14869692.265126899, 'ijk': (6, '-', 19, '-', 5)}
{'BM': 14856791.204774713, 'ijk': (6, '-', 20, '-', 9)}
{'BM': 14844051.421833197, 'ijk': (4, '-', 18, '-', 4)}
{'BM': 14828699.703951322, 'ijk': (8, '-', 29, '-', 3)}
{'BM': 14820516.610940617, 'ijk': (5, '-', 19, '-', 12)}
{'BM': 14818917.68936444, 'ijk': (6, '-', 24, '-', 12)}
{'BM': 14810808.449584298, 'ijk': (4, '-', 23, '-', 4)}
{'BM': 14803095.215756157, 'ijk': (4, '-', 27, '-', 4)}
{'BM': 14797225.429539803, 'ijk': (4, '-', 28, '-', 4)}
{'BM': 14790349.051194403, 'ijk': (4, '-', 29, '-', 4)}
{'BM': 14789865.18413786, 'ijk': (6, '-', 25, '-', 12)}
{'BM': 14788765.471395403, 'ijk': (6, '-', 22, '-', 12)}
{'BM': 14781728.379832925, 'ijk': (6, '-', 27, '-', 12)}
{'BM': 14779203.464786494, 'ijk': (7, '-', 27, '-', 8)}
{'BM': 14776603.825188637, 'ijk': (4, '-', 24, '-', 4)}
{'BM': 14773839.239934383, 'ijk': (6, '-', 28, '-', 12)}
{'BM': 14772384.54324917, 'ijk': (7, '-', 25, '-', 7)}
{'BM': 14768582.795335416, 'ijk': (5, '-', 28, '-', 12)}
{'BM': 14760447.109982388, 'ijk': (7, '-', 26, '-', 8)}
{'BM': 14755174.15850791, 'ijk': (5, '-', 22, '-', 12)}
{'BM': 14729212.493854826, 'ijk': (5, '-', 23, '-', 12)}
{'BM': 14727260.70715185, 'ijk': (6, '-', 20, '-', 2)}
{'BM': 14725276.400002953, 'ijk': (4, '-', 18, '-', 2)}
{'BM': 14714377.343934419, 'ijk': (5, '-', 24, '-', 12)}
{'BM': 14707556.971258326, 'ijk': (5, '-', 27, '-', 12)}
{'BM': 14694199.824776893, 'ijk': (6, '-', 29, '-', 12)}
{'BM': 14691318.51721914, 'ijk': (5, '-', 21, '-', 12)}
{'BM': 14671840.922772514, 'ijk': (7, '-', 28, '-', 8)}
{'BM': 14670963.522040352, 'ijk': (5, '-', 17, '-', 6)}
{'BM': 14668946.0737692, 'ijk': (5, '-', 18, '-', 11)}
{'BM': 14663302.414337419, 'ijk': (6, '-', 26, '-', 12)}
{'BM': 14661487.998944318, 'ijk': (7, '-', 29, '-', 8)}
{'BM': 14633523.272910124, 'ijk': (4, '-', 27, '-', 3)}
{'BM': 14623309.412432747, 'ijk': (5, '-', 20, '-', 12)}
{'BM': 14605046.048948435, 'ijk': (7, '-', 24, '-', 6)}
{'BM': 14576018.648996435, 'ijk': (5, '-', 25, '-', 12)}
{'BM': 14546220.037758142, 'ijk': (5, '-', 29, '-', 12)}
{'BM': 14541477.09637247, 'ijk': (7, '-', 27, '-', 2)}
{'BM': 14521482.183978884, 'ijk': (6, '-', 21, '-', 11)}
{'BM': 14515688.479491264, 'ijk': (4, '-', 16, '-', 5)}
{'BM': 14513688.736269977, 'ijk': (6, '-', 19, '-', 6)}
{'BM': 14463341.838638883, 'ijk': (5, '-', 26, '-', 12)}
{'BM': 14457186.261100603, 'ijk': (6, '-', 20, '-', 10)}
{'BM': 14437635.316175364, 'ijk': (4, '-', 15, '-', 5)}
{'BM': 14427251.230476113, 'ijk': (4, '-', 20, '-', 5)}
{'BM': 14426357.88759938, 'ijk': (7, '-', 25, '-', 2)}
{'BM': 14380328.78253632, 'ijk': (4, '-', 17, '-', 5)}
{'BM': 14347141.142814467, 'ijk': (8, '-', 29, '-', 4)}
{'BM': 14345514.463468345, 'ijk': (4, '-', 18, '-', 5)}
{'BM': 14342999.316082984, 'ijk': (4, '-', 22, '-', 5)}
{'BM': 14328466.731803562, 'ijk': (4, '-', 14, '-', 2)}
{'BM': 14322048.4062962, 'ijk': (4, '-', 28, '-', 5)}
{'BM': 14308776.953654077, 'ijk': (4, '-', 29, '-', 5)}
{'BM': 14281526.765642023, 'ijk': (7, '-', 23, '-', 5)}
{'BM': 14266225.361035816, 'ijk': (4, '-', 25, '-', 5)}
{'BM': 14254901.801516976, 'ijk': (5, '-', 22, '-', 13)}
{'BM': 14249149.773054466, 'ijk': (4, '-', 28, '-', 3)}
{'BM': 14247257.082936117, 'ijk': (6, '-', 23, '-', 13)}
{'BM': 14245533.199447202, 'ijk': (4, '-', 21, '-', 5)}
{'BM': 14242855.452659108, 'ijk': (4, '-', 19, '-', 5)}
{'BM': 14223281.278239543, 'ijk': (6, '-', 26, '-', 2)}
{'BM': 14219105.424462639, 'ijk': (4, '-', 23, '-', 5)}
{'BM': 14200838.717351686, 'ijk': (5, '-', 19, '-', 13)}
{'BM': 14198088.706184108, 'ijk': (5, '-', 17, '-', 7)}
{'BM': 14194162.182905717, 'ijk': (4, '-', 27, '-', 5)}
{'BM': 14167969.065514743, 'ijk': (6, '-', 24, '-', 13)}
{'BM': 14149506.455392228, 'ijk': (6, '-', 26, '-', 13)}
{'BM': 14147559.050485332, 'ijk': (6, '-', 27, '-', 13)}
{'BM': 14145319.520816136, 'ijk': (6, '-', 25, '-', 13)}
{'BM': 14130378.639555527, 'ijk': (4, '-', 24, '-', 5)}
{'BM': 14116764.252678966, 'ijk': (7, '-', 25, '-', 8)}
{'BM': 14109928.561051654, 'ijk': (6, '-', 29, '-', 13)}
{'BM': 14097454.44500071, 'ijk': (7, '-', 26, '-', 9)}
{'BM': 14096444.210676009, 'ijk': (6, '-', 22, '-', 13)}
{'BM': 14082223.1220511, 'ijk': (8, '-', 28, '-', 3)}
{'BM': 14081170.137783242, 'ijk': (5, '-', 26, '-', 13)}
{'BM': 14080457.892598424, 'ijk': (5, '-', 20, '-', 13)}
{'BM': 14079880.343235936, 'ijk': (5, '-', 24, '-', 13)}
{'BM': 14078615.998347623, 'ijk': (7, '-', 22, '-', 3)}
{'BM': 14073835.460059876, 'ijk': (7, '-', 27, '-', 9)}
{'BM': 14070294.54471448, 'ijk': (6, '-', 28, '-', 13)}
{'BM': 14029711.113244932, 'ijk': (7, '-', 29, '-', 9)}
{'BM': 14027605.345416484, 'ijk': (7, '-', 28, '-', 9)}
{'BM': 14026901.673013818, 'ijk': (5, '-', 29, '-', 13)}
{'BM': 14022413.606228726, 'ijk': (6, '-', 21, '-', 12)}
{'BM': 13993137.105044972, 'ijk': (4, '-', 17, '-', 6)}
{'BM': 13985973.919381283, 'ijk': (5, '-', 21, '-', 13)}
{'BM': 13984449.13279713, 'ijk': (4, '-', 19, '-', 2)}
{'BM': 13975563.161431646, 'ijk': (4, '-', 26, '-', 6)}
{'BM': 13964798.370071141, 'ijk': (7, '-', 28, '-', 2)}
{'BM': 13928832.406923397, 'ijk': (7, '-', 22, '-', 4)}
{'BM': 13923679.3848708, 'ijk': (5, '-', 28, '-', 13)}
{'BM': 13921173.039310604, 'ijk': (4, '-', 26, '-', 5)}
{'BM': 13904701.087989286, 'ijk': (7, '-', 24, '-', 7)}
{'BM': 13891299.684385333, 'ijk': (4, '-', 29, '-', 3)}
{'BM': 13890072.823503252, 'ijk': (5, '-', 25, '-', 13)}
{'BM': 13877685.60228447, 'ijk': (5, '-', 27, '-', 13)}
{'BM': 13861066.999402432, 'ijk': (4, '-', 16, '-', 6)}
{'BM': 13834498.913622791, 'ijk': (5, '-', 23, '-', 2)}
{'BM': 13832175.583366103, 'ijk': (6, '-', 19, '-', 7)}
{'BM': 13827844.85793087, 'ijk': (5, '-', 16, '-', 2)}
{'BM': 13821126.051794834, 'ijk': (4, '-', 24, '-', 6)}
{'BM': 13817658.508947384, 'ijk': (4, '-', 18, '-', 6)}
{'BM': 13807127.237819549, 'ijk': (4, '-', 15, '-', 6)}
{'BM': 13770609.593619168, 'ijk': (7, '-', 23, '-', 6)}
{'BM': 13759041.90189941, 'ijk': (4, '-', 27, '-', 6)}
{'BM': 13756517.577636145, 'ijk': (5, '-', 23, '-', 13)}
{'BM': 13739750.623840895, 'ijk': (4, '-', 22, '-', 6)}
{'BM': 13728515.37660714, 'ijk': (6, '-', 20, '-', 11)}
{'BM': 13724407.636446878, 'ijk': (5, '-', 18, '-', 12)}
{'BM': 13723688.926376304, 'ijk': (4, '-', 21, '-', 6)}
{'BM': 13719946.923549438, 'ijk': (4, '-', 28, '-', 6)}
{'BM': 13683297.391268456, 'ijk': (4, '-', 19, '-', 6)}
